player_id,player_rank,player_name,player_country,player_rating,player_points,ranking_lastUpdatedOn,player_countryId,app_seo_title
3007,1,Mohammad Nabi,Afghanistan,314,314,2024-02-16,96,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
544,2,Shakib Al Hasan,Bangladesh,310,310,2024-02-16,6,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
9354,3,Sikandar Raza,Zimbabwe,288,288,2024-02-16,12,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
10738,4,Rashid Khan,Afghanistan,255,255,2024-02-16,96,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
10120,5,Assad Vala,Papua New Guinea,248,248,2024-02-16,287,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
7662,6,Glenn Maxwell,Australia,237,237,2024-02-16,4,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
10466,7,Zeeshan Maqsood,Oman,235,235,2024-02-16,304,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
10100,8,Mitchell Santner,New Zealand,233,233,2024-02-16,13,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
11081,9,Mehidy Hasan Miraz,Bangladesh,216,216,2024-02-16,6,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
587,10,Ravindra Jadeja,India,209,209,2024-02-16,2,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
6258,10,Josh Hazlewood,Australia,209,209,2024-02-16,4,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
14565,10,Marco Jansen,South Africa,209,209,2024-02-16,11,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
9383,13,Michael Leask,Scotland,208,208,2024-02-16,23,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
11177,14,Rachin Ravindra,New Zealand,202,202,2024-02-16,13,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
10926,15,Wanindu Hasaranga,Sri Lanka,198,198,2024-02-16,5,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
