player_id,player_rank,player_name,player_country,player_rating,player_points,ranking_lastUpdatedOn,player_countryId,player_t20_avg,app_seo_title
7915,1,Suryakumar Yadav,India,861,861,2024-02-16,2,45.55,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
10479,2,Philip Salt,England,802,802,2024-02-16,9,35.5,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
9468,3,Mohammad Rizwan,Pakistan,800,800,2024-02-16,3,48.87,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
8359,4,Babar Azam,Pakistan,764,764,2024-02-16,3,41.55,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
9582,5,Aiden Markram,South Africa,755,755,2024-02-16,11,38.55,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
13940,6,Yashasvi Jaiswal,India,714,714,2024-02-16,2,33.47,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
11172,7,Finn Allen,New Zealand,706,706,2024-02-16,13,26.38,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
2244,8,Rilee Rossouw,South Africa,689,689,2024-02-16,11,34.86,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
2258,9,Jos Buttler,England,680,680,2024-02-16,9,34.85,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
9491,10,Reeza Hendricks,South Africa,660,660,2024-02-16,11,31.52,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
6660,11,Dawid Malan,England,657,657,2024-02-16,9,36.38,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
11813,12,Ruturaj Gaikwad,India,654,654,2024-02-16,2,35.71,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
9791,13,Brandon King,West Indies,643,643,2024-02-16,10,28.05,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
10693,14,Glenn Phillips,New Zealand,640,640,2024-02-16,13,31.76,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
18987,15,Muhammad Waseem,United Arab Emirates,637,637,2024-02-16,7,38.88,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
